founder_name,first_name,last_name,tjhsst_graduation_year,tjhsst_year_confidence,tjhsst_evidence,tjhsst_source_url,company_name,company_website,founder_role,founding_year,company_status,industry,subindustry,company_description,headquarters,venture_backed,total_funding,latest_known_round,notable_investors,accelerator,acquisition_or_exit,acquirer,exit_year,current_founder_role,founder_linkedin,founder_personal_website,company_linkedin,founder_evidence,founder_source_url,additional_sources,discovery_method,discovered_via,discovery_source_url,confidence_score,notes,universities_attended
Brent Metz,Brent,Metz,1996,Strongly inferred,TJHSST computer-systems history identifies Metz on the original 1995–96 Sysadmin team; the year is inferred from that school-year record.,https://documentation.tjhsst.edu/general/history/fridge,Yext,https://www.yext.com/,Co-founder,2006,Public,Enterprise Software,Digital presence and search,"Enterprise platform for managing digital knowledge, listings and search experiences.","New York, NY",Yes,Unknown,IPO (2017),Sutter Hill Ventures; Insight Partners; others,None,Initial public offering,NYSE: YEXT,2017,Unknown,Unknown,Unknown,Unknown,Public-company filings and founder interviews identify the co-founders.,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,Unknown,Recursive founder-network expansion,Howard Lerman network expansion,https://www.forbesindia.com/article/cross-border/howard-lerman-shares-the-secrets-of-starting-up/36943/1,5,Unknown,Unknown
Howard Lerman,Howard,Lerman,1998,Confirmed,Multiple sources identify Lerman as a 1998 TJHSST graduate.,https://www.yext.com/blog/yext-unveils-major-washington-d-c-area-expansion-to-bring-500-jobs-to-the-region,Confide,https://getconfide.com/,Co-founder,2013,Acquired,Cybersecurity,Encrypted messaging,Ephemeral encrypted messaging application.,"New York, NY",Yes,Unknown,Venture financing,GV; First Round Capital; WGI Group; others,None,Acquired,Aurea Software,2021,Former founder,https://www.linkedin.com/in/howardlerman,Unknown,Unknown,Yext public-company proxy identifies Lerman as a Confide co-founder.,https://investors.yext.com/sec-filings/all-sec-filings/content/0001614178-21-000095/yext-20210709.htm,Unknown,Named community-node search,Howard Lerman public activity,https://www.linkedin.com/posts/howardlerman_im-jumping-back-in-the-arena-in-life-activity-6959932946824769536-i9uc,5,Unknown,Virginia Tech
Jeffery Liu,Jeffery,Liu,,Unknown,TJHSST Founders Initiative identifies Liu as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Assort Health,https://www.assorthealth.com/,Co-founder and CEO,2023,Active,Healthcare,AI patient scheduling,AI voice and scheduling infrastructure for specialty healthcare practices.,"San Francisco, CA",Yes,$222M publicly reported,"Series C ($120M, 2026)",Greenfield Partners; First Round; Chemistry; Quiet Capital; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Company and reputable financing profiles identify Liu as co-founder/CEO.,https://www.forbes.com/profile/assort-health/,https://www.greenfield-growth.com/knowledge/disruptors60-assort-health-interview/,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Harvard University
Brendan McCord,Brendan,McCord,,Unknown,TJHSST Founders Initiative identifies McCord as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Cosmos Institute,https://www.cosmos-institute.org/,Founder and chair,2024,Active,Nonprofit,AI philosophy and governance,Research and fellowship organization focused on human flourishing in an AI age.,"San Francisco, CA",No,Unknown,Philanthropic funding,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder company profile identifies McCord as founder.,https://www.tjhsst.network/companies/cosmos-institute,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,MIT
Kathryn Minshew,Kathryn,Minshew,,Unknown,TJHSST Founders Initiative identifies Minshew as a TJ alumna; no graduation year was located.,https://www.tjhsst.network/alumni,The Muse,https://www.themuse.com/,Co-founder and CEO,2011,Active,Marketplace,Career platform,Career discovery and recruiting platform with company profiles and job listings.,"New York, NY",Yes,Unknown,Venture financing,Icon Ventures; Aspect Ventures; QED Investors; others,Y Combinator W12,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,The Muse’s official author biography identifies Minshew as co-founder/CEO.,https://www.themuse.com/author/kathryn-minshew,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Duke University
Kathryn Minshew,Kathryn,Minshew,,Unknown,TJHSST Founders Initiative identifies Minshew as a TJ alumna; no graduation year was located.,https://www.tjhsst.network/alumni,Pretty Young Professionals,Unknown,Co-founder,2010,Closed,Media,Professional community,Career community and website that preceded The Muse.,"New York, NY",Bootstrapped,Unknown,Unknown,Unknown,None,Closed after founder dispute,Unknown,2011,Former founder,Unknown,Unknown,Unknown,Public biographies identify Minshew as a PYP co-founder.,https://en.wikipedia.org/wiki/Kathryn_Minshew,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Duke University
Rohan Kalahasty,Rohan,Kalahasty,,Unknown,TJHSST Founders Initiative identifies Kalahasty as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Forge (formerly Applied37/a37),https://www.forge.ai/,Co-founder,2025,Active,Artificial Intelligence,AI software engineering,AI-native company that rebranded from Applied37/a37 to Forge.,"San Francisco, CA",Yes,Undisclosed seed round,Seed,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,https://rohankalahasty.com/,Unknown,TJ founder company profile identifies the four founders; Kalahasty’s essay confirms the venture and seed financing.,https://www.tjhsst.network/companies/applied37,https://rohankalahasty.com/essays/raising,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Unknown
Sritan Motati,Sritan,Motati,,Unknown,TJHSST Founders Initiative identifies Motati as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Forge (formerly Applied37/a37),https://www.forge.ai/,Co-founder,2025,Active,Artificial Intelligence,AI software engineering,AI-native company that rebranded from Applied37/a37 to Forge.,"San Francisco, CA",Yes,Undisclosed seed round,Seed,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder company profile identifies the four founders; Kalahasty’s essay confirms the venture and seed financing.,https://www.tjhsst.network/companies/applied37,https://rohankalahasty.com/essays/raising,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Unknown
Tahsin Zaman,Tahsin,Zaman,,Unknown,TJHSST Founders Initiative identifies Zaman as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Forge (formerly Applied37/a37),https://www.forge.ai/,Co-founder,2025,Active,Artificial Intelligence,AI software engineering,AI-native company that rebranded from Applied37/a37 to Forge.,"San Francisco, CA",Yes,Undisclosed seed round,Seed,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder company profile identifies the four founders; Kalahasty’s essay confirms the venture and seed financing.,https://www.tjhsst.network/companies/applied37,https://rohankalahasty.com/essays/raising,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Unknown
Brian Zhou,Brian,Zhou,,Unknown,TJHSST Founders Initiative identifies Zhou as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Forge (formerly Applied37/a37),https://www.forge.ai/,Co-founder,2025,Active,Artificial Intelligence,AI software engineering,AI-native company that rebranded from Applied37/a37 to Forge.,"San Francisco, CA",Yes,Undisclosed seed round,Seed,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder company profile identifies the four founders; Kalahasty’s essay confirms the venture and seed financing.,https://www.tjhsst.network/companies/applied37,https://rohankalahasty.com/essays/raising,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Unknown
Akash Raju,Akash,Raju,2016,Confirmed,TJHSST Founders Initiative lists Raju as Class of 2016.,https://www.tjhsst.network/alumni,Glimpse,https://www.glimpse.ai/,Co-founder and CEO,2020,Active,Artificial Intelligence,CPG analytics,"AI-powered deductions, accounting and analytics software for consumer brands.","New York, NY",Yes,$52M publicly reported,"Series A ($35M, 2026)",Andreessen Horowitz; 8VC; others,Y Combinator W20,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/akash-raju,Unknown,Unknown,Founder post and TJ founder profile identify Raju as Glimpse co-founder/CEO.,https://www.linkedin.com/posts/akash-raju_cpg-startups-ai-activity-7315364257129246721-CN6J,Unknown,Chappy Asel social-hub search,Chappy Asel LinkedIn panel post,https://www.linkedin.com/posts/chappyasel_thrilled-to-be-moderating-a-powerhouse-tjhsst-activity-7402354519331946496-OvYa,5,Unknown,Princeton University
Conor Russomanno,Conor,Russomanno,2007,Confirmed,Russomanno’s public biography lists TJHSST and Class of 2007.,https://conorrussomanno.com/,OpenBCI,https://openbci.com/,Co-founder and CEO,2013,Active,Hardware,Brain-computer interfaces,Open-source biosensing and brain-computer-interface hardware and software.,"Brooklyn, NY",Crowdfunded,At least $384K Kickstarter campaign; later financing undisclosed,Crowdfunding / private,Unknown,Kickstarter,None known,Unknown,Unknown,Unknown,Unknown,https://conorrussomanno.com/,Unknown,Russomanno’s personal website identifies him as OpenBCI founder/CEO.,https://conorrussomanno.com/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Pratt Institute; Parsons School of Design
Conor Russomanno,Conor,Russomanno,2007,Confirmed,Russomanno’s public biography lists TJHSST and Class of 2007.,https://conorrussomanno.com/,NeuroTechNYC,https://neurotechnyc.com/,Founder,2016,Active,Nonprofit,Neurotechnology community,Community organization connecting the New York neurotechnology ecosystem.,"New York, NY",No,Unknown,Community sponsorships,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,https://conorrussomanno.com/,Unknown,Russomanno’s personal website identifies him as founder.,https://conorrussomanno.com/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Pratt Institute; Parsons School of Design
Vlad Tenev,Vlad,Tenev,2004,Confirmed,TJHSST founder materials identify Tenev as Class of 2004; public biographies independently identify his TJ attendance.,https://www.tjhsst.network/alumni,Robinhood,https://robinhood.com/,Co-founder and CEO,2013,Public,Fintech,Retail brokerage,Commission-free retail brokerage and financial-services platform.,"Menlo Park, CA",Yes,Unknown,IPO (2021),Index Ventures; NEA; Ribbit Capital; Sequoia; others,None,Initial public offering,NASDAQ: HOOD,2021,Unknown,Unknown,Unknown,Unknown,Robinhood’s public-company biography identifies Tenev as co-founder.,https://investors.robinhood.com/governance/board-of-directors/person-details/default.aspx?ItemId=6e6e73ed-6cc5-4f4c-88de-e1bf31b86268,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Stanford University; UCLA
Greg Tseng,Greg,Tseng,1997,Confirmed,TJHSST Founders Initiative lists Tseng as Class of 1997.,https://www.tjhsst.network/alumni,Tagged,https://www.tagged.com/,Co-founder and CEO,2004,Acquired,Social,Social discovery,Social network focused on meeting new people.,"San Francisco, CA",Yes,At least $8.5M publicly announced,Venture financing,Mayfield; Lighthouse Capital; others,Unknown,Acquired for approximately $60M,The Meet Group,2017,Former founder,Unknown,Unknown,Unknown,Public biographies and acquisition histories identify Tseng as founder/co-founder.,https://en.wikipedia.org/wiki/Greg_Tseng,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Harvard University; Stanford University
Greg Tseng,Greg,Tseng,1997,Confirmed,TJHSST Founders Initiative lists Tseng as Class of 1997.,https://www.tjhsst.network/alumni,Jumpstart Technologies,Unknown,Co-founder,2000,Acquired,Consumer,Online promotions,Viral online-marketing and promotions business.,"San Francisco, CA",Yes,Unknown,Unknown,Unknown,None,Acquired,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and acquisition histories identify Tseng as founder/co-founder.,https://en.wikipedia.org/wiki/Greg_Tseng,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Harvard University; Stanford University
Greg Tseng,Greg,Tseng,1997,Confirmed,TJHSST Founders Initiative lists Tseng as Class of 1997.,https://www.tjhsst.network/alumni,flyingchickens.com,Unknown,Co-founder,1999,Closed,Consumer,College community,Early college-focused internet startup founded by Tseng.,Unknown,Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and acquisition histories identify Tseng as founder/co-founder.,https://en.wikipedia.org/wiki/Greg_Tseng,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Harvard University; Stanford University
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Indigo Agriculture,https://www.indigoag.com/,Co-founder,2014,Active,Agriculture,Agricultural technology,Biological and digital technologies for crop productivity and sustainable agriculture.,"Boston, MA",Yes,Unknown,Private financing,Flagship Pioneering; others,Flagship Pioneering,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Seres Therapeutics,https://www.serestherapeutics.com/,Co-founder,2010,Public,Biotech,Microbiome therapeutics,Biotechnology company developing microbiome therapeutics.,"Cambridge, MA",Yes,Unknown,IPO (2015),Flagship Pioneering; others,Flagship Pioneering,Initial public offering,NASDAQ: MCRB,2015,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Generate Biomedicines,https://generatebiomedicines.com/,Co-founder,2018,Public,Biotech,Generative biology,Generative-AI platform for designing protein therapeutics.,"Somerville, MA",Yes,Unknown,IPO (2026),Flagship Pioneering; others,Flagship Pioneering,Initial public offering,Public market,2026,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Tessera Therapeutics,https://www.tesseratx.com/,Co-founder,2018,Active,Biotech,Gene writing,Biotechnology company developing gene-writing medicines.,"Somerville, MA",Yes,Unknown,Private financing,Flagship Pioneering; others,Flagship Pioneering,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Quotient Therapeutics,https://www.quotienttx.com/,Co-founder,2022,Active,Biotech,Somatic genomics,Biotechnology company using somatic genomics for therapeutic discovery.,"Cambridge, MA",Yes,Unknown,Private financing,Flagship Pioneering; others,Flagship Pioneering,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Sana Biotechnology,https://sana.com/,Co-founder,2018,Public,Biotech,Cell and gene therapy,Cell and gene therapy biotechnology company.,"Seattle, WA",Yes,Unknown,IPO (2021),Flagship Pioneering; others,Unknown,Initial public offering,NASDAQ: SANA,2021,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Geoffrey von Maltzahn,Geoffrey,von Maltzahn,1998,Confirmed,"TJHSST Founders Initiative lists von Maltzahn as Class of 1998; one older secondary list gives 1999, noted as a conflict.",https://www.tjhsst.network/alumni,Lila Sciences,https://www.lila.ai/,Co-founder and CEO,2023,Active,Artificial Intelligence,Scientific discovery,AI science platform building autonomous laboratories.,"Cambridge, MA",Yes,Unknown,Private financing,Flagship Pioneering; others,Flagship Pioneering,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MIT’s 2026 commencement biography identifies von Maltzahn as founder/co-founder of these companies.,https://commencement.mit.edu/sites/default/files/c26-SOE-SCC-program-final.pdf,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Graduation-year conflict: current TJHSST Founders Initiative says 1998; an older copied alumni list says 1999.,MIT
Charlie Wu,Charlie,Wu,2021,Confirmed,TJHSST Founders Initiative lists Wu as Class of 2021.,https://www.tjhsst.network/alumni,Orchard Robotics,https://www.orchard-robotics.com/,Founder and CEO,2022,Active,Robotics,Agricultural robotics,Computer-vision and robotic systems for precision orchard management.,"Seattle, WA",Yes,More than $25M publicly announced,"Series A ($22M, 2026)",Quiet Capital; Shine Capital; General Catalyst; Contrary; Mythos; Howard Lerman,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TJ founder profile and financing announcement identify Wu as founder/CEO.,https://www.tjhsst.network/news/orchard-robotics-series-a,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,5,Unknown,Cornell University
Sathvik Redrouthu,Sathvik,Redrouthu,,Unknown,TJHSST Founders Initiative identifies Redrouthu as a TJ alumnus; no graduation year was located.,https://www.tjhsst.network/alumni,Instachip,https://www.instachip.ai/,Co-founder,2024,Active,Semiconductors,AI chip design,AI-assisted chip-design software company.,"San Francisco, CA",Yes,Unknown,YC W25,Y Combinator,Y Combinator W25,None known,Unknown,Unknown,Unknown,Unknown,https://sathvikr.com/,Unknown,Redrouthu’s personal website and company materials identify him as co-founder.,https://sathvikr.com/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
Darius Kazemi,Darius,Kazemi,,Unknown,TJHSST Founders Initiative and public biographies identify Kazemi as a TJ alumnus; no reliable year was located.,https://www.tjhsst.network/alumni,Feel Train,https://feeltrain.com/,Co-founder,2015,Dormant,Media,Creative technology studio,"Creative technology studio known for bots, games and social-media experiences.","Portland, OR",Bootstrapped,Unknown,Unknown,Unknown,None,Operations wound down / dormant,Unknown,Unknown,Former founder,Unknown,https://tinysubversions.com/,Unknown,Public biographies identify Kazemi as a Feel Train co-founder.,https://en.wikipedia.org/wiki/Darius_Kazemi,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Worcester Polytechnic Institute
Sophia Kianni,Sophia,Kianni,2020,Confirmed,Her public TJ alumni-panel post and TJHSST founder materials identify Kianni as Class of 2020.,https://www.linkedin.com/posts/sophiakianni_so-excited-for-the-tjhsst-alumni-panel-today-activity-7404916228353466368-xL0c,Climate Cardinals,https://www.climatecardinals.org/,Founder and executive director,2020,Active,Nonprofit,Climate communication,Youth-led nonprofit translating climate information into many languages.,"Washington, DC",No,Unknown,Philanthropic support,Google.org; Schmidt Futures; others,Unknown,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/sophiakianni,Unknown,Unknown,Climate Cardinals’ official team page identifies Kianni as founder.,https://www.climatecardinals.org/our-people,Unknown,Chappy Asel social-hub search,Chappy Asel LinkedIn panel post,https://www.linkedin.com/posts/chappyasel_thrilled-to-be-moderating-a-powerhouse-tjhsst-activity-7402354519331946496-OvYa,5,Unknown,Stanford University
Sophia Kianni,Sophia,Kianni,2020,Confirmed,Her public TJ alumni-panel post and TJHSST founder materials identify Kianni as Class of 2020.,https://www.linkedin.com/posts/sophiakianni_so-excited-for-the-tjhsst-alumni-panel-today-activity-7404916228353466368-xL0c,Phia,https://phia.com/,Co-founder,2024,Active,Consumer,AI shopping assistant,AI-powered shopping and price-comparison assistant.,"New York, NY",Yes,More than $43M publicly announced,"Series A ($35M, 2026)",Notable Capital; Khosla Ventures; Kleiner Perkins; others,Unknown,None known,Unknown,Unknown,Unknown,https://www.linkedin.com/in/sophiakianni,Unknown,Unknown,Company financing announcement identifies Kianni as co-founder.,https://www.globenewswire.com/news-release/2026/01/27/3226762/0/en/Phia-Raises-35-Million-Series-A-Led-by-Notable-Capital.html,Unknown,Chappy Asel social-hub search,Chappy Asel LinkedIn panel post,https://www.linkedin.com/posts/chappyasel_thrilled-to-be-moderating-a-powerhouse-tjhsst-activity-7402354519331946496-OvYa,5,Unknown,Stanford University
Kavya Kopparapu,Kavya,Kopparapu,2018,Strongly inferred,TJHSST founder materials identify Kopparapu as an alumna; the 2018 year is supported by contemporaneous student coverage and college timeline.,https://www.tjhsst.network/alumni,Girls Computing League,https://girlscomputingleague.org/,Founder and chair,2015,Active,Nonprofit,Computer-science education,Nonprofit expanding access to computer-science education.,"Fairfax, VA",No,Unknown,Grants and donations,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Organization materials identify Kopparapu as founder.,https://girlscomputingleague.org/about,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,Harvard University
Danny Lee,Danny,Lee,1999,Confirmed,TJHSST Founders Initiative lists Lee as Class of 1999.,https://www.tjhsst.network/alumni,Mandu,https://www.mandudc.com/,Co-founder / founding partner,2006,Active,Other,Restaurant,"Korean restaurant group in Washington, D.C.","Washington, DC",Bootstrapped,Unknown,Unknown,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chef and restaurant-group biographies identify Lee as founder or founding partner.,https://hawaiifoodandwinefestival.com/talent/danny-lee/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
Danny Lee,Danny,Lee,1999,Confirmed,TJHSST Founders Initiative lists Lee as Class of 1999.,https://www.tjhsst.network/alumni,CHIKO,https://www.chikodc.com/,Co-founder / founding partner,2017,Active,Other,Restaurant,"Chinese-Korean restaurant concept founded by restaurant partners Danny Lee, Scott Drewno and Andrew Kim.","Washington, DC",Bootstrapped,Unknown,Unknown,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chef and restaurant-group biographies identify Lee as founder or founding partner.,https://hawaiifoodandwinefestival.com/talent/danny-lee/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
Danny Lee,Danny,Lee,1999,Confirmed,TJHSST Founders Initiative lists Lee as Class of 1999.,https://www.tjhsst.network/alumni,Anju,https://www.anjurestaurant.com/,Co-founder / founding partner,2019,Active,Other,Restaurant,"Modern Korean restaurant in Washington, D.C.","Washington, DC",Bootstrapped,Unknown,Unknown,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Chef and restaurant-group biographies identify Lee as founder or founding partner.,https://hawaiifoodandwinefestival.com/talent/danny-lee/,Unknown,TJHSST founder directory,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,4,Unknown,University of Virginia
David Rosenthal,David,Rosenthal,,Unknown,The Washington Post explicitly identifies Rosenthal as a TJ alumnus.,https://www.washingtonpost.com/business/economy/value-added-computer-skills-lead-tj-alum-to-found-his-own-company/2012/03/09/gIQAosDt5R_story.html,FoundationDB,https://www.foundationdb.org/,Co-founder and CEO,2009,Acquired,Data Infrastructure,Distributed database,Distributed database company whose technology was acquired and open-sourced by Apple.,"Vienna, VA",Yes,Approximately $22.7M publicly reported,Series A / venture financing,Sutter Hill Ventures; CrunchFund; others,Unknown,Acquired,Apple,2015,Former founder,Unknown,Unknown,Unknown,Washington Post founder profile identifies Rosenthal as founder/CEO.,https://www.washingtonpost.com/business/economy/value-added-computer-skills-lead-tj-alum-to-found-his-own-company/2012/03/09/gIQAosDt5R_story.html,Unknown,Historical-company search,Washington Post TJ founder profile,https://www.washingtonpost.com/business/economy/value-added-computer-skills-lead-tj-alum-to-found-his-own-company/2012/03/09/gIQAosDt5R_story.html,5,Unknown,Unknown
David Scherer,David,Scherer,,Unknown,The Washington Post describes Scherer as Rosenthal’s TJ classmate/co-founder; no public graduation year was located.,https://www.washingtonpost.com/business/economy/value-added-computer-skills-lead-tj-alum-to-found-his-own-company/2012/03/09/gIQAosDt5R_story.html,FoundationDB,https://www.foundationdb.org/,Co-founder,2009,Acquired,Data Infrastructure,Distributed database,Distributed database company whose technology was acquired and open-sourced by Apple.,"Vienna, VA",Yes,Approximately $22.7M publicly reported,Series A / venture financing,Sutter Hill Ventures; CrunchFund; others,Unknown,Acquired,Apple,2015,Former founder,Unknown,Unknown,Unknown,Founder biography identifies Scherer as FoundationDB co-founder.,https://wellfound.com/p/david-scherer,Unknown,Recursive founder-network expansion,David Rosenthal network expansion,https://wellfound.com/p/david-scherer,4,Unknown,Unknown
David Scherer,David,Scherer,,Unknown,The Washington Post describes Scherer as Rosenthal’s TJ classmate/co-founder; no public graduation year was located.,https://www.washingtonpost.com/business/economy/value-added-computer-skills-lead-tj-alum-to-found-his-own-company/2012/03/09/gIQAosDt5R_story.html,Visual Sciences,Unknown,Co-founder,1996,Acquired,Data Infrastructure,Web analytics,Web-analytics software company previously known as WebSideStory.,"San Diego, CA",Yes,Unknown,Public / acquisition,Unknown,None,Acquired,Omniture,2007,Former founder,Unknown,Unknown,Unknown,Founder biography identifies Scherer as Visual Sciences co-founder.,https://wellfound.com/p/david-scherer,Unknown,Recursive founder-network expansion,David Rosenthal network expansion,https://wellfound.com/p/david-scherer,4,Unknown,Unknown
